SPNWR_ID,DateOfActivity,SpeciesCode,OriginalTagID,CaptureType,ActivityLocation,Result,Y Laid,Y Buried,Yless Laid,Yless Buried,Date Emerg,Time Emerg,Date Excav,Time Excav,NestConfirmed,NestWashedOut,NestNotFound,PredatedType,PredatedWhen,PredatedEggs,PredatedHatchlings,L Hatch,LiveEmergedHatchlings,DateLHatchReleased,TimeLHatchReleased,HatchlingReleaseLocation,EmergedHatchlingsDead,EmergedHatchlingsDeadReason,EmergedHatchlingsAlive,HatchlingsTakenForIncubation,HatchlingsReleased,D Hatch,NestHatchlingsDeadReason,Yolkless,Hatched shell,Full term pipped dead,Full term pipped live,Full term unpipped dead,FTU-Live,PB-E,PB-L,PE-E,PE-L,Undeveloped,UnFertilized,UNPIG,UNKNOWN,Total unhatched,Total eggs,Hatch success (%),H-Deformed,UH-Deformed_Albino,UH-Deformed_Twins,UH-Deformed_Other
3971,6/7/2005,Dc,029286278,Nesting,Sandy Point,Relocate,100,100,40,40,,,8/11/2005,,TRUE,FALSE,FALSE,,,,,0,3,11-Aug-05,00-Jan-00,,0,,,,,1,,32,15,10,0,61,0,1,0,1,0,12,0,0,0,85,100,15.0,0,0,0,0
15863,6/13/2008,Dc,029286278,Nesting,Sandy Point,Relocate,94,94,29,29,,,8/15/2008,,FALSE,FALSE,FALSE,,,,,0,0,,,,0,,,,,1,Unknown,29,67,0,0,3,0,0,2,0,0,15,0,,7,27,94,71.3,0,0,0,0
2017,5/28/2003,Dc,029286278,Nesting,Sandy Point,Relocate,93,93,44,43,,,8/2/2003,,TRUE,FALSE,FALSE,,,,,0,2,,,,0,,,,,0,,46,30,32,0,15,0,2,4,0,0,6,0,0,3,62,92,32.6,0,0,0,0
16872,4/12/2009,Dc,29288890,Nesting,Sandy Point,In Situ,,,,,6/17/2009,,6/18/2009,,FALSE,FALSE,FALSE,,,,,4,1,18-Jun-09,00-Jan-00,,1,,,,,1,,12,63,12,0,1,0,0,0,0,0,7,0,,3,23,86,73.3,0,0,0,0
14924,6/2/2007,Dc,40849379,Nesting,Sandy Point,In Situ,,,,,,,8/7/2007,,FALSE,FALSE,FALSE,,,,,0,4,7-Aug-07,00-Jan-00,,0,,,,,0,,8,51,5,0,2,0,5,1,1,3,22,0,,5,44,95,53.7,0,0,0,0
14582,5/12/2007,Dc,40849379,Nesting,Sandy Point,In Situ,,,,,,,7/13/2007,,FALSE,FALSE,FALSE,,,,,2,6,13-Jul-07,00-Jan-00,,0,,,,,0,,6,51,14,0,2,0,1,0,5,0,13,0,,0,35,86,59.3,0,,,
14174,4/7/2007,Dc,40849379,Nesting,Sandy Point,In Situ,,,,,6/9/2007,,6/10/2007,,FALSE,FALSE,FALSE,,,,,1,2,11-Jun-07,00-Jan-00,,0,,,,,0,,2,48,1,0,3,0,0,3,0,0,4,10,,8,29,77,62.3,0,,,
15026,6/14/2007,Dc,40849379,Nesting,Sandy Point,In Situ,,,,,8/14/2007,,8/15/2007,,FALSE,FALSE,FALSE,,,,,1,1,,,,0,,,,,0,,0,39,8,0,1,0,0,1,1,0,13,0,,6,30,69,56.5,0,0,0,0
14439,5/1/2007,Dc,40849379,Nesting,Sandy Point,In Situ,,,,,,,7/3/2007,,FALSE,FALSE,FALSE,Night Heron,Unknown,,,2,0,3-Jul-07,00-Jan-00,,0,,,,,0,,24,40,2,0,1,0,0,2,1,1,20,0,,0,27,67,59.7,0,,,
15689,5/27/2008,Dc,55889047,Nesting,Sandy Point,Relocate,107,107,40,40,,,7/29/2008,,FALSE,FALSE,FALSE,,,,,0,1,29-Jul-08,,,0,,,,,0,,31,52,0,0,8,0,0,2,3,0,15,0,,24,52,104,50.0,0,0,0,0
15516,5/4/2008,Dc,55889047,Nesting,Sandy Point,In Situ,,,,,,,7/18/2008,,FALSE,FALSE,FALSE,,,,,0,0,,,,0,,,,,1,Unknown,50,29,24,0,17,0,0,1,0,0,11,0,,4,57,86,33.7,0,0,0,0
963,6/17/2002,Dc,AAB401,Nesting,Sandy Point,In Situ,,,,,,,8/20/2002,,TRUE,FALSE,FALSE,,,,,0,0,,,,0,,,,,1,,29,7,49,0,1,0,1,1,0,0,6,0,0,6,64,71,9.9,0,0,0,0
10578,5/10/1999,Dc,AAB401,Nesting,Sandy Point,In Situ,,,,,7/10/1999,20:45:00,7/10/1999,,TRUE,FALSE,FALSE,,,,,0,13,,,,,,,,,2,,40,61,1,0,0,0,0,1,0,0,3,0,0,0,5,66,92.4,0,0,0,0
10322,5/2/1999,Dc,AAB401,Nesting,Sandy Point,In Situ,,,,,,,7/2/1999,,TRUE,FALSE,FALSE,,,,,0,57,,,,,,,,,2,,40,57,4,0,0,0,0,0,0,0,1,0,0,0,5,62,91.9,0,0,0,0
10386,4/22/1999,Dc,AAB401,Nesting,Sandy Point,In Situ,,,,,6/23/1999,20:35:00,6/23/1999,,TRUE,FALSE,FALSE,,,,,0,16,,,,,,,,,0,,31,47,5,0,0,0,0,4,1,0,1,0,0,1,12,59,79.7,0,0,0,0
10907,6/8/1999,Dc,AAB401,Nesting,Sandy Point,Relocate,59,59,48,48,,,8/7/1999,,TRUE,FALSE,FALSE,,,,,0,43,,,,,,,,,0,,0,43,9,0,3,0,0,0,1,0,2,0,0,0,15,58,74.1,0,0,0,0
10677,5/19/1999,Dc,AAB401,Nesting,Sandy Point,In Situ,,,,,7/17/1999,21:00:00,7/17/1999,,TRUE,FALSE,FALSE,,,,,0,3,,,,,,,,,1,,38,38,17,0,2,0,0,0,1,0,0,0,0,0,20,58,65.5,0,0,0,0
